Member ID,node
jrrfs_enkf_save_restart_spinup_mem008_f001,1
jrrfs_enkf_forecast_long_mem017,13
jrrfs_enkf_forecast_long_mem004,13
jrrfs_enkf_forecast_long_mem001,13
jrrfs_enkf_save_restart_mem019_f1,1
jrrfs_enkf_forecast_mem024,13
jrrfs_enkf_forecast_ensinit_mem011,13
jrrfs_enkf_forecast_ensinit_mem019,13
jrrfs_enkf_forecast_ensinit_mem016,13
jrrfs_enkf_forecast_mem005,13
jrrfs_enkf_forecast_ensinit_mem006,13
jrrfs_enkf_save_restart_spinup_mem023_f001,1
jrrfs_enkf_forecast_spinup_mem003,13
jrrfs_enkf_save_restart_ensinit_mem028,1
jrrfs_enkf_forecast_mem012,13
jrrfs_enkf_forecast_mem014,13
jrrfs_enkf_forecast_mem011,13
jrrfs_enkf_forecast_mem004,13
jrrfs_enkf_forecast_mem006,13
jrrfs_enkf_save_restart_ensinit_mem008,1
jrrfs_enkf_save_restart_long_mem011_f1,1
jrrfs_enkf_forecast_spinup_mem004,13
jrrfs_enkf_save_restart_long_mem017_f1,1
jrrfs_enkf_save_restart_spinup_mem005_f001,1
jrrfs_enkf_forecast_spinup_mem021,13
jrrfs_enkf_forecast_spinup_mem014,13
jrrfs_enkf_forecast_long_mem030,13
jrrfs_enkf_forecast_spinup_mem026,13
jrrfs_enkf_save_restart_long_mem015_f1,1
jrrfs_enkf_forecast_spinup_mem016,13
jrrfs_enkf_save_restart_ensinit_mem023,1
jrrfs_enkf_save_restart_long_mem008_f1,1
jrrfs_enkf_save_restart_long_mem016_f1,1
jrrfs_enkf_forecast_long_mem006,13
jrrfs_enkf_forecast_mem026,13
jrrfs_enkf_forecast_mem025,13
jrrfs_enkf_forecast_ensinit_mem026,13
jrrfs_enkf_save_restart_ensinit_mem019,1
jrrfs_enkf_forecast_ensinit_mem015,13
jrrfs_enkf_forecast_spinup_mem007,13
jrrfs_enkf_forecast_mem017,13
jrrfs_enkf_save_restart_mem005_f1,1
jrrfs_enkf_save_restart_spinup_mem018_f001,1
jrrfs_enkf_save_restart_spinup_mem006_f001,1
jrrfs_enkf_forecast_mem021,13
jrrfs_enkf_save_restart_spinup_mem017_f001,1
jrrfs_enkf_forecast_ensinit_mem025,13
jrrfs_enkf_save_restart_ensinit_mem020,1
jrrfs_enkf_save_restart_ensinit_mem002,1
jrrfs_enkf_forecast_spinup_mem017,13
jrrfs_enkf_forecast_mem023,13
jrrfs_enkf_forecast_long_mem014,13
jrrfs_enkf_forecast_long_mem021,13
jrrfs_enkf_forecast_long_mem029,13
jrrfs_enkf_forecast_mem016,13
jrrfs_enkf_forecast_spinup_mem029,13
jrrfs_enkf_save_restart_long_mem004_f1,1
jrrfs_enkf_forecast_spinup_mem006,13
jrrfs_enkf_forecast_ensinit_mem018,13
jrrfs_enkf_save_restart_mem001_f1,1
jrrfs_enkf_save_restart_spinup_mem029_f001,1
jrrfs_enkf_forecast_spinup_mem005,13
jrrfs_enkf_save_restart_ensinit_mem017,1
jrrfs_enkf_save_restart_spinup_mem019_f001,1
jrrfs_enkf_save_restart_ensinit_mem005,1
jrrfs_enkf_forecast_mem030,13
jrrfs_enkf_save_restart_mem028_f1,1
jrrfs_enkf_forecast_long_mem005,13
jrrfs_enkf_save_restart_ensinit_mem006,1
jrrfs_enkf_save_restart_long_mem027_f1,1
jrrfs_enkf_save_restart_mem010_f1,1
jrrfs_enkf_forecast_spinup_mem010,13
jrrfs_enkf_forecast_mem020,13
jrrfs_enkf_forecast_ensinit_mem001,13
jrrfs_enkf_forecast_ensinit_mem028,13
jrrfs_enkf_save_restart_long_mem010_f1,1
jrrfs_enkf_forecast_mem029,13
jrrfs_enkf_save_restart_mem024_f1,1
jrrfs_enkf_forecast_ensinit_mem027,13
jrrfs_enkf_forecast_long_mem019,13
jrrfs_enkf_save_restart_spinup_mem021_f001,1
jrrfs_enkf_save_restart_mem022_f1,1
jrrfs_enkf_save_restart_mem011_f1,1
jrrfs_enkf_save_restart_long_mem013_f1,1
jrrfs_enkf_save_restart_mem025_f1,1
jrrfs_enkf_save_restart_long_mem028_f1,1
jrrfs_enkf_forecast_ensinit_mem022,13
jrrfs_enkf_forecast_ensinit_mem023,13
jrrfs_enkf_save_restart_mem018_f1,1
jrrfs_enkf_save_restart_long_mem026_f1,1
jrrfs_enkf_forecast_mem007,13
jrrfs_enkf_save_restart_long_mem020_f1,1
jrrfs_enkf_save_restart_long_mem018_f1,1
jrrfs_enkf_forecast_long_mem028,13
jrrfs_enkf_save_restart_ensinit_mem021,1
jrrfs_enkf_save_restart_spinup_mem016_f001,1
jrrfs_enkf_forecast_ensinit_mem005,13
jrrfs_enkf_save_restart_ensinit_mem025,1
jrrfs_enkf_forecast_ensinit_mem002,13
jrrfs_enkf_forecast_ensinit_mem007,13
jrrfs_enkf_save_restart_mem017_f1,1
jrrfs_enkf_save_restart_mem023_f1,1
jrrfs_enkf_forecast_spinup_mem019,13
jrrfs_enkf_save_restart_mem008_f1,1
jrrfs_enkf_save_restart_spinup_mem010_f001,1
jrrfs_enkf_forecast_mem001,13
jrrfs_enkf_save_restart_ensinit_mem027,1
jrrfs_enkf_forecast_mem003,13
jrrfs_enkf_forecast_ensinit_mem009,13
jrrfs_enkf_save_restart_spinup_mem013_f001,1
jrrfs_enkf_save_restart_spinup_mem027_f001,1
jrrfs_enkf_save_restart_mem009_f1,1
jrrfs_enkf_save_restart_spinup_mem030_f001,1
jrrfs_enkf_save_restart_mem012_f1,1
jrrfs_enkf_save_restart_spinup_mem025_f001,1
jrrfs_enkf_forecast_spinup_mem022,13
jrrfs_enkf_forecast_long_mem016,13
jrrfs_enkf_forecast_spinup_mem020,13
jrrfs_enkf_forecast_spinup_mem011,13
jrrfs_enkf_forecast_ensinit_mem030,13
jrrfs_enkf_save_restart_mem026_f1,1
jrrfs_enkf_save_restart_spinup_mem020_f001,1
jrrfs_enkf_forecast_long_mem002,13
jrrfs_enkf_save_restart_ensinit_mem024,1
jrrfs_enkf_save_restart_ensinit_mem001,1
jrrfs_enkf_forecast_long_mem007,13
jrrfs_enkf_save_restart_ensinit_mem009,1
jrrfs_enkf_save_restart_mem021_f1,1
jrrfs_enkf_save_restart_mem013_f1,1
jrrfs_enkf_forecast_spinup_mem001,13
jrrfs_enkf_forecast_ensinit_mem008,13
jrrfs_enkf_forecast_mem027,13
jrrfs_enkf_save_restart_mem002_f1,1
jrrfs_enkf_save_restart_mem004_f1,1
jrrfs_enkf_forecast_mem010,13
jrrfs_enkf_save_restart_ensinit_mem018,1
jrrfs_enkf_save_restart_spinup_mem009_f001,1
jrrfs_enkf_save_restart_ensinit_mem029,1
jrrfs_enkf_forecast_long_mem009,13
jrrfs_enkf_save_restart_long_mem003_f1,1
jrrfs_enkf_forecast_long_mem022,13
jrrfs_enkf_save_restart_spinup_mem007_f001,1
jrrfs_enkf_save_restart_mem007_f1,1
jrrfs_enkf_save_restart_spinup_mem012_f001,1
jrrfs_enkf_forecast_mem008,13
jrrfs_enkf_save_restart_long_mem022_f1,1
jrrfs_enkf_save_restart_spinup_mem014_f001,1
jrrfs_enkf_save_restart_ensinit_mem012,1
jrrfs_enkf_save_restart_mem020_f1,1
jrrfs_enkf_save_restart_mem003_f1,1
jrrfs_enkf_forecast_spinup_mem027,13
jrrfs_enkf_save_restart_long_mem001_f1,1
jrrfs_enkf_save_restart_mem030_f1,1
jrrfs_enkf_save_restart_spinup_mem024_f001,1
jrrfs_enkf_forecast_long_mem026,13
jrrfs_enkf_forecast_spinup_mem012,13
jrrfs_enkf_forecast_mem019,13
jrrfs_enkf_forecast_long_mem013,13
jrrfs_enkf_save_restart_ensinit_mem030,1
jrrfs_enkf_forecast_ensinit_mem020,13
jrrfs_enkf_save_restart_spinup_mem003_f001,1
jrrfs_enkf_forecast_spinup_mem018,13
jrrfs_enkf_forecast_spinup_mem009,13
jrrfs_enkf_save_restart_long_mem007_f1,1
jrrfs_enkf_forecast_mem013,13
jrrfs_enkf_forecast_ensinit_mem013,13
jrrfs_enkf_save_restart_ensinit_mem003,1
jrrfs_enkf_forecast_long_mem015,13
jrrfs_enkf_save_restart_spinup_mem028_f001,1
jrrfs_enkf_forecast_mem002,13
jrrfs_enkf_save_restart_long_mem009_f1,1
jrrfs_enkf_forecast_long_mem018,13
jrrfs_enkf_forecast_long_mem020,13
jrrfs_enkf_forecast_ensinit_mem003,13
jrrfs_enkf_forecast_ensinit_mem024,13
jrrfs_enkf_forecast_spinup_mem030,13
jrrfs_enkf_forecast_spinup_mem015,13
jrrfs_enkf_forecast_spinup_mem025,13
jrrfs_enkf_forecast_mem015,13
jrrfs_enkf_forecast_ensinit_mem010,13
jrrfs_enkf_save_restart_ensinit_mem016,1
jrrfs_enkf_save_restart_ensinit_mem007,1
jrrfs_enkf_save_restart_ensinit_mem026,1
jrrfs_enkf_forecast_spinup_mem013,13
jrrfs_enkf_save_restart_spinup_mem015_f001,1
jrrfs_enkf_forecast_spinup_mem024,13
jrrfs_enkf_save_restart_ensinit_mem010,1
jrrfs_enkf_save_restart_ensinit_mem013,1
jrrfs_enkf_save_restart_ensinit_mem015,1
jrrfs_enkf_forecast_spinup_mem028,13
jrrfs_enkf_save_restart_spinup_mem002_f001,1
jrrfs_enkf_save_restart_spinup_mem022_f001,1
jrrfs_enkf_save_restart_long_mem005_f1,1
jrrfs_enkf_forecast_long_mem011,13
jrrfs_enkf_forecast_spinup_mem002,13
jrrfs_enkf_save_restart_long_mem025_f1,1
jrrfs_enkf_save_restart_mem006_f1,1
jrrfs_enkf_save_restart_mem027_f1,1
jrrfs_enkf_save_restart_mem015_f1,1
jrrfs_enkf_forecast_ensinit_mem029,13
jrrfs_enkf_forecast_ensinit_mem014,13
jrrfs_enkf_save_restart_mem029_f1,1
jrrfs_enkf_save_restart_long_mem012_f1,1
jrrfs_enkf_save_restart_ensinit_mem014,1
jrrfs_enkf_forecast_mem022,13
jrrfs_enkf_forecast_spinup_mem008,13
jrrfs_det_save_restart_long_1,1
jrrfs_det_forecast,52
jrrfs_det_save_restart_f2,1
jrrfs_det_save_restart_long_48,1
jrrfs_det_forecast_long,52
jrrfs_det_save_restart_f1,1
jrrfs_det_save_restart_long_2,1
jrrfs_det_save_restart_spinup_f001,1
jrrfs_det_forecast_spinup,52
jrrfs_det_save_restart_long_36,1
jrrfs_det_save_restart_long_24,1
jrrfs_det_save_restart_long_12,1
jrrfs_fsm,1
jrrfs_fsm,1
jrrfs_ensf_make_lbcs_09_mem004,1
jrrfs_ensf_make_lbcs_05_mem002,1
jrrfs_ensf_make_lbcs_06_mem002,1
jrrfs_ensf_make_lbcs_02_mem001,1
jrrfs_ensf_make_lbcs_07_mem001,1
jrrfs_ensf_make_lbcs_03_mem004,1
jrrfs_ensf_make_lbcs_01_mem004,1
jrrfs_ensf_make_lbcs_04_mem004,1
jrrfs_ensf_make_lbcs_07_mem005,1
jrrfs_ensf_make_lbcs_05_mem003,1
jrrfs_ensf_make_lbcs_06_mem004,1
jrrfs_ensf_make_lbcs_00_mem001,1
jrrfs_ensf_make_lbcs_00_mem003,1
jrrfs_ensf_make_lbcs_08_mem001,1
jrrfs_ensf_make_lbcs_06_mem001,1
